history:UCC_Compressor_Data/Running Seconds_COMP2
01-Jan-15 12:00 AM GMT  to  25-Aug-15 3:46 PM BST

Timestamp,Trend Flags,Status,Value (s)
"22-Aug-15 11:15:00 AM BST","{ }","{ok}","131626544.0 s"
"22-Aug-15 11:20:00 AM BST","{ }","{ok}","131626800.0 s"
"22-Aug-15 11:25:00 AM BST","{ }","{ok}","131627088.0 s"
"22-Aug-15 11:30:00 AM BST","{ }","{ok}","131627384.0 s"
"22-Aug-15 11:35:00 AM BST","{ }","{ok}","131627568.0 s"
"22-Aug-15 11:40:00 AM BST","{ }","{ok}","131627832.0 s"
"22-Aug-15 11:45:00 AM BST","{ }","{ok}","131628080.0 s"
"22-Aug-15 11:50:00 AM BST","{ }","{ok}","131628320.0 s"
"22-Aug-15 11:55:00 AM BST","{ }","{ok}","131628616.0 s"
"22-Aug-15 12:00:00 PM BST","{ }","{ok}","131628904.0 s"
"22-Aug-15 12:05:00 PM BST","{ }","{ok}","131629112.0 s"
"22-Aug-15 12:10:00 PM BST","{ }","{ok}","131629416.0 s"
"22-Aug-15 12:15:00 PM BST","{ }","{ok}","131629656.0 s"
"22-Aug-15 12:20:00 PM BST","{ }","{ok}","131629864.0 s"
"22-Aug-15 12:25:00 PM BST","{ }","{ok}","131630136.0 s"
"22-Aug-15 12:30:00 PM BST","{ }","{ok}","131630344.0 s"
"22-Aug-15 12:35:00 PM BST","{ }","{ok}","131630640.0 s"
"22-Aug-15 12:40:00 PM BST","{ }","{ok}","131630848.0 s"
"22-Aug-15 12:45:00 PM BST","{ }","{ok}","131631040.0 s"
"22-Aug-15 12:50:00 PM BST","{ }","{ok}","131631344.0 s"
"22-Aug-15 12:55:00 PM BST","{ }","{ok}","131631584.0 s"
"22-Aug-15 1:00:00 PM BST","{ }","{ok}","131631832.0 s"
"22-Aug-15 1:05:00 PM BST","{ }","{ok}","131632128.0 s"
"22-Aug-15 1:10:00 PM BST","{ }","{ok}","131632368.0 s"
"22-Aug-15 1:15:00 PM BST","{ }","{ok}","131632640.0 s"
"22-Aug-15 1:20:00 PM BST","{ }","{ok}","131632944.0 s"
"22-Aug-15 1:25:00 PM BST","{ }","{ok}","131633192.0 s"
"22-Aug-15 1:30:00 PM BST","{ }","{ok}","131633456.0 s"
"22-Aug-15 1:35:00 PM BST","{ }","{ok}","131633680.0 s"
"22-Aug-15 1:40:00 PM BST","{ }","{ok}","131633984.0 s"
"22-Aug-15 1:45:00 PM BST","{ }","{ok}","131634264.0 s"
"22-Aug-15 1:50:00 PM BST","{ }","{ok}","131634536.0 s"
"22-Aug-15 1:55:00 PM BST","{ }","{ok}","131634792.0 s"
"22-Aug-15 2:00:00 PM BST","{ }","{ok}","131634992.0 s"
"22-Aug-15 2:05:00 PM BST","{ }","{ok}","131635296.0 s"
"22-Aug-15 2:10:00 PM BST","{ }","{ok}","131635600.0 s"
"22-Aug-15 2:15:00 PM BST","{ }","{ok}","131635832.0 s"
"22-Aug-15 2:20:00 PM BST","{ }","{ok}","131636136.0 s"
"22-Aug-15 2:25:00 PM BST","{ }","{ok}","131636328.0 s"
"22-Aug-15 2:30:00 PM BST","{ }","{ok}","131636576.0 s"
"22-Aug-15 2:35:00 PM BST","{ }","{ok}","131636872.0 s"
"22-Aug-15 2:40:00 PM BST","{ }","{ok}","131637176.0 s"
"22-Aug-15 2:45:00 PM BST","{ }","{ok}","131637472.0 s"
"22-Aug-15 2:50:00 PM BST","{ }","{ok}","131637752.0 s"
"22-Aug-15 2:55:00 PM BST","{ }","{ok}","131637944.0 s"
"22-Aug-15 3:00:00 PM BST","{ }","{ok}","131638200.0 s"
"22-Aug-15 3:05:00 PM BST","{ }","{ok}","131638456.0 s"
"22-Aug-15 3:10:00 PM BST","{ }","{ok}","131638760.0 s"
"22-Aug-15 3:15:00 PM BST","{ }","{ok}","131639040.0 s"
"22-Aug-15 3:20:00 PM BST","{ }","{ok}","131639272.0 s"
"22-Aug-15 3:25:00 PM BST","{ }","{ok}","131639472.0 s"
"22-Aug-15 3:30:00 PM BST","{ }","{ok}","131639784.0 s"
"22-Aug-15 3:35:00 PM BST","{ }","{ok}","131640032.0 s"
"22-Aug-15 3:40:00 PM BST","{ }","{ok}","131640304.0 s"
"22-Aug-15 3:45:00 PM BST","{ }","{ok}","131640600.0 s"
"22-Aug-15 3:50:00 PM BST","{ }","{ok}","131640800.0 s"
"22-Aug-15 3:55:00 PM BST","{ }","{ok}","131641096.0 s"
"22-Aug-15 4:00:00 PM BST","{ }","{ok}","131641352.0 s"
"22-Aug-15 4:05:00 PM BST","{ }","{ok}","131641544.0 s"
"22-Aug-15 4:10:00 PM BST","{ }","{ok}","131641808.0 s"
"22-Aug-15 4:15:00 PM BST","{ }","{ok}","131642096.0 s"
"22-Aug-15 4:20:00 PM BST","{ }","{ok}","131642296.0 s"
"22-Aug-15 4:25:00 PM BST","{ }","{ok}","131642552.0 s"
"22-Aug-15 4:30:00 PM BST","{ }","{ok}","131642840.0 s"
"22-Aug-15 4:35:00 PM BST","{ }","{ok}","131643040.0 s"
"22-Aug-15 4:40:00 PM BST","{ }","{ok}","131643320.0 s"
"22-Aug-15 4:45:00 PM BST","{ }","{ok}","131643576.0 s"
"22-Aug-15 4:50:00 PM BST","{ }","{ok}","131643776.0 s"
"22-Aug-15 4:55:00 PM BST","{ }","{ok}","131644056.0 s"
"22-Aug-15 5:00:00 PM BST","{ }","{ok}","131644352.0 s"
"22-Aug-15 5:05:00 PM BST","{ }","{ok}","131644648.0 s"
"22-Aug-15 5:10:00 PM BST","{ }","{ok}","131644872.0 s"
"22-Aug-15 5:15:00 PM BST","{ }","{ok}","131645096.0 s"
"22-Aug-15 5:20:00 PM BST","{ }","{ok}","131645400.0 s"
"22-Aug-15 5:25:00 PM BST","{ }","{ok}","131645608.0 s"
"22-Aug-15 5:30:00 PM BST","{ }","{ok}","131645816.0 s"
"22-Aug-15 5:35:00 PM BST","{ }","{ok}","131646112.0 s"
"22-Aug-15 5:40:00 PM BST","{ }","{ok}","131646320.0 s"
"22-Aug-15 5:45:00 PM BST","{ }","{ok}","131646600.0 s"
"22-Aug-15 5:50:00 PM BST","{ }","{ok}","131646880.0 s"
"22-Aug-15 5:55:00 PM BST","{ }","{ok}","131647184.0 s"
"22-Aug-15 6:00:00 PM BST","{ }","{ok}","131647432.0 s"
"22-Aug-15 6:05:00 PM BST","{ }","{ok}","131647728.0 s"
"22-Aug-15 6:10:00 PM BST","{ }","{ok}","131647928.0 s"
"22-Aug-15 6:15:00 PM BST","{ }","{ok}","131648144.0 s"
"22-Aug-15 6:20:00 PM BST","{ }","{ok}","131648440.0 s"
"22-Aug-15 6:25:00 PM BST","{ }","{ok}","131648656.0 s"
"22-Aug-15 6:30:00 PM BST","{ }","{ok}","131648856.0 s"
"22-Aug-15 6:35:00 PM BST","{ }","{ok}","131649152.0 s"
