history:UCC_Compressor_Data/Intercooler Pressure_COMP2,,,
01-Jan-15 12:00 AM GMT  to  25-Aug-15 3:43 PM BST,,,
,,,
Timestamp,Trend Flags,Status,Value (mbar)
22-Aug-15 1:45:00 PM BST,{ },{ok},-85.0 mbar
22-Aug-15 1:50:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 1:55:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 2:00:00 PM BST,{ },{ok},-78.0 mbar
22-Aug-15 2:05:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 2:10:00 PM BST,{ },{ok},-107.0 mbar
22-Aug-15 2:15:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 2:20:00 PM BST,{ },{ok},-100.0 mbar
22-Aug-15 2:25:00 PM BST,{ },{ok},-63.0 mbar
22-Aug-15 2:30:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 2:35:00 PM BST,{ },{ok},2600.0 mbar
22-Aug-15 2:40:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 2:45:00 PM BST,{ },{ok},2366.0 mbar
22-Aug-15 2:50:00 PM BST,{ },{ok},-63.0 mbar
22-Aug-15 2:55:00 PM BST,{ },{ok},-63.0 mbar
22-Aug-15 3:00:00 PM BST,{ },{ok},-85.0 mbar
22-Aug-15 3:05:00 PM BST,{ },{ok},-100.0 mbar
22-Aug-15 3:10:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 3:15:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 3:20:00 PM BST,{ },{ok},-100.0 mbar
22-Aug-15 3:25:00 PM BST,{ },{ok},-78.0 mbar
22-Aug-15 3:30:00 PM BST,{ },{ok},-78.0 mbar
22-Aug-15 3:35:00 PM BST,{ },{ok},-100.0 mbar
22-Aug-15 3:40:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 3:45:00 PM BST,{ },{ok},-93.0 mbar
22-Aug-15 3:50:00 PM BST,{ },{ok},-63.0 mbar
22-Aug-15 3:55:00 PM BST,{ },{ok},-100.0 mbar
22-Aug-15 4:00:00 PM BST,{ },{ok},-63.0 mbar
22-Aug-15 4:05:00 PM BST,{ },{ok},-63.0 mbar
22-Aug-15 4:10:00 PM BST,{ },{ok},-85.0 mbar
22-Aug-15 4:15:00 PM BST,{ },{ok},2585.0 mbar
22-Aug-15 4:20:00 PM BST,{ },{ok},2615.0 mbar
22-Aug-15 4:25:00 PM BST,{ },{ok},-100.0 mbar
22-Aug-15 4:30:00 PM BST,{ },{ok},2600.0 mbar
22-Aug-15 4:35:00 PM BST,{ },{ok},2556.0 mbar
22-Aug-15 4:40:00 PM BST,{ },{ok},-100.0 mbar
22-Aug-15 4:45:00 PM BST,{ },{ok},-78.0 mbar
22-Aug-15 4:50:00 PM BST,{ },{ok},2520.0 mbar
22-Aug-15 4:55:00 PM BST,{ },{ok},-85.0 mbar
22-Aug-15 5:00:00 PM BST,{ },{ok},-85.0 mbar
