Timestamp,Trend Flags,Status,Value (mbar)
26/08/2015 12:11,{ },{ok},2424.0 mbar
26/08/2015 12:11,{ },{ok},2534.0 mbar
26/08/2015 12:11,{ },{ok},2563.0 mbar
26/08/2015 12:11,{ },{ok},-85.0 mbar
26/08/2015 12:12,{ },{ok},-93.0 mbar
26/08/2015 12:12,{ },{ok},-85.0 mbar
26/08/2015 12:12,{ },{ok},-85.0 mbar
26/08/2015 12:12,{ },{ok},-85.0 mbar
26/08/2015 12:12,{ },{ok},-78.0 mbar
26/08/2015 12:12,{ },{ok},-85.0 mbar
26/08/2015 12:13,{ },{ok},-85.0 mbar
26/08/2015 12:13,{ },{ok},2051.0 mbar
26/08/2015 12:13,{ },{ok},2541.0 mbar
26/08/2015 12:13,{ },{ok},2520.0 mbar
26/08/2015 12:13,{ },{ok},46.0 mbar
26/08/2015 12:13,{ },{ok},-78.0 mbar
26/08/2015 12:14,{ },{ok},-85.0 mbar
26/08/2015 12:14,{ },{ok},-78.0 mbar
26/08/2015 12:14,{ },{ok},-71.0 mbar
26/08/2015 12:14,{ },{ok},-78.0 mbar
26/08/2015 12:14,{ },{ok},-85.0 mbar
26/08/2015 12:14,{ },{ok},2293.0 mbar
26/08/2015 12:15,{ },{ok},2534.0 mbar
26/08/2015 12:15,{ },{ok},2549.0 mbar
26/08/2015 12:15,{ },{ok},-63.0 mbar
26/08/2015 12:15,{ },{ok},-93.0 mbar
26/08/2015 12:15,{ },{ok},-71.0 mbar
26/08/2015 12:15,{ },{ok},-78.0 mbar
26/08/2015 12:16,{ },{ok},-78.0 mbar
26/08/2015 12:16,{ },{ok},-85.0 mbar
26/08/2015 12:16,{ },{ok},-78.0 mbar
26/08/2015 12:16,{ },{ok},2373.0 mbar
26/08/2015 12:16,{ },{ok},2512.0 mbar
26/08/2015 12:16,{ },{ok},2534.0 mbar
26/08/2015 12:17,{ },{ok},427.0 mbar
26/08/2015 12:17,{ },{ok},-85.0 mbar
26/08/2015 12:17,{ },{ok},-93.0 mbar
26/08/2015 12:17,{ },{ok},-93.0 mbar
26/08/2015 12:17,{ },{ok},-78.0 mbar
26/08/2015 12:17,{ },{ok},-85.0 mbar
26/08/2015 12:18,{ },{ok},-85.0 mbar
26/08/2015 12:18,{ },{ok},2505.0 mbar
26/08/2015 12:18,{ },{ok},2520.0 mbar
26/08/2015 12:18,{ },{ok},2556.0 mbar
26/08/2015 12:18,{ },{ok},-85.0 mbar
26/08/2015 12:18,{ },{ok},-93.0 mbar
26/08/2015 12:19,{ },{ok},-93.0 mbar
26/08/2015 12:19,{ },{ok},-100.0 mbar
26/08/2015 12:19,{ },{ok},-85.0 mbar
26/08/2015 12:19,{ },{ok},-78.0 mbar
26/08/2015 12:19,{ },{ok},2329.0 mbar
26/08/2015 12:19,{ },{ok},2520.0 mbar
26/08/2015 12:20,{ },{ok},2527.0 mbar
26/08/2015 12:20,{ },{ok},76.0 mbar
26/08/2015 12:20,{ },{ok},-93.0 mbar
26/08/2015 12:20,{ },{ok},-85.0 mbar
26/08/2015 12:20,{ },{ok},-85.0 mbar
26/08/2015 12:20,{ },{ok},-78.0 mbar
26/08/2015 12:21,{ },{ok},-85.0 mbar
